Name,Insurance Number,Reporting Date,Assets,Shares,Liabilities,Net Worth,Revenue,Dividends,Expenses,Net Income
Davenport Police Department,61691,12/31/2011,3625776,3094194,7561,524021,136146,27566,104608,3972
Davenport Police Department,61691,12/31/2012,3681630,3138617,9987,533026,127255,17019,101233,9003
Davenport Police Department,61691,12/31/2013,3880752,3336387,5912,538453,110608,12814,92367,5427
Davenport Police Department,61691,12/31/2014,3800765,3246240,8072,546453,109532,10618,90914,8000
Davenport Police Department,61691,12/31/2015,4140757,3573240,10023,557494,117861,10765,96055,11041
Davenport Police Department,61691,12/31/2016,4265446,3688703,10455,566288,112320,10331,93195,8794
Davenport Police Department,61691,12/31/2017,4093047,3506429,11920,574698,112427,2516,94674,8410
Consumers,61917,12/31/2005,4097863,3566363,36156,495344,346922,65314,260715,20893
Consumers,61917,12/31/2006,4237262,3679861,39513,517888,376225,92734,260947,22544
Consumers,61917,12/31/2007,4503071,3925482,37393,540196,394675,108424,263943,22308
Consumers,61917,12/31/2008,4513155,3889172,49841,574142,399335,81447,283940,33948
Consumers,61917,12/31/2009,4910645,4259953,36552,614140,410482,45749,318902,39997
Consumers,61917,12/31/2010,4528895,3824320,43278,661297,418884,29788,341938,47158
Consumers,61917,12/31/2011,5288631,4551745,46402,690484,404234,26809,348240,29185
Consumers,61917,12/31/2012,5304458,4558711,28567,717180,381729,22248,332784,26697
Consumers,61917,12/31/2013,5382899,4590045,42092,750762,388285,7467,347236,33582
Consumers,61917,12/31/2014,5826263,4992723,33260,800280,425111,7718,367875,49518
Consumers,61917,12/31/2015,6214095,5340282,30021,843792,409849,11331,350924,47594
Consumers,61917,12/31/2016,6606108,5695970,24536,885602,414599,11607,361183,41809
Consumers,61917,12/31/2017,6698635,5748939,25582,924114,405183,3649,353725,38513
Midland,61918,12/31/2018,53209209,45814034,265725,7129450,2919135,309521,2500726,108888
Midland,61918,12/31/2005,31449775,26253373,130800,5065602,2088129,475941,1305825,306363
Midland,61918,12/31/2006,33109876,27490130,177767,5441979,2369921,586113,1407431,376377
Midland,61918,12/31/2007,32815208,26956297,194491,5664420,2605018,749724,1632852,222442
Midland,61918,12/31/2008,33692170,28034626,135192,5522352,2343616,611654,1874030,-142068
Midland,61918,12/31/2009,35642357,29852419,152131,5637807,2342964,419334,1716922,115454
Midland,61918,12/31/2010,34910474,29043745,181596,5685133,2062696,267569,1747852,47275
Midland,61918,12/31/2011,37112089,31077475,234398,5800216,2064125,215245,1733795,115085
Midland,61918,12/31/2012,39385102,33318162,237762,5829178,2023071,161547,1832562,28962
Midland,61918,12/31/2013,41722479,35245051,254229,6223199,2157653,136549,1857864,163240
Midland,61918,12/31/2014,44056484,37478569,208412,6369503,2109651,129450,1833894,146307
Midland,61918,12/31/2015,47411694,40629446,261497,6520751,2271471,121697,1998527,151247
Midland,61918,12/31/2016,50883193,43927791,257706,6697696,2303229,127629,1998654,176946
Midland,61918,12/31/2017,52237260,44941255,275443,7020562,2773647,174297,2276484,322866
United Service Community,61919,12/31/2005,24640490,20824361,1017887,2798242,1355103,251564,1012329,91210
United Service Community,61919,12/31/2006,22395664,19347140,157246,2891278,1381217,325366,962815,93036
United Service Community,61919,12/31/2007,22892231,19639548,218924,3033759,1548890,380625,1025784,142481
United Service Community,61919,12/31/2008,25389552,22012026,179146,3198380,1612930,404774,1043535,164621
United Service Community,61919,12/31/2009,28050698,24422467,219397,3408834,1786033,378647,945996,210453
United Service Community,61919,12/31/2010,33604531,29983133,327190,3294208,1613216,390677,1337164,-114625
United Service Community,61919,12/31/2011,35378334,32187988,281912,2908434,1525144,340044,1070875,114225
United Service Community,61919,12/31/2012,39473499,36270357,266445,2936697,1385916,276788,1080864,28264
United Service Community,61919,12/31/2013,39378361,35975929,196065,3206367,1456134,160510,1025955,269669
United Service Community,61919,12/31/2014,39463604,35571151,262824,3629629,1489311,116255,1042490,330566
Power Co-op Employees,61920,12/31/2018,34684221,28022828,39702,6621641,1438982,251496,528437,658534
Power Co-op Employees,61920,12/31/2005,13523963,11713606,14730,1795627,678453,279445,233884,165124
Power Co-op Employees,61920,12/31/2006,12024832,10076990,13704,1934138,737617,338685,260421,138511
Power Co-op Employees,61920,12/31/2007,12682757,10604151,13149,2065457,806370,414894,260157,131319
Power Co-op Employees,61920,12/31/2008,16151594,13886071,16376,2249147,881572,415338,282544,183690
Power Co-op Employees,61920,12/31/2009,19494159,16994627,22846,2476686,1087099,376225,389292,227539
Power Co-op Employees,61920,12/31/2010,22737505,19892141,66201,2779163,1007590,282779,422335,302476
Power Co-op Employees,61920,12/31/2011,25211725,22011437,63510,3136778,1024363,199326,467423,357614
Power Co-op Employees,61920,12/31/2012,26700899,23161473,70896,3468530,999667,207405,465943,326319
Power Co-op Employees,61920,12/31/2013,28668536,24805840,64465,3798231,975806,216745,429364,329697
Power Co-op Employees,61920,12/31/2014,29945473,25694678,106038,4144757,1000423,219134,434763,346526
Power Co-op Employees,61920,12/31/2015,30292348,25522788,34632,4734928,1136138,228875,358444,548819
Power Co-op Employees,61920,12/31/2016,31721587,26352856,37334,5331397,1170921,218394,356059,596468
Power Co-op Employees,61920,12/31/2017,34271225,28271155,36913,5963107,1309900,246062,434771,629067
DuPont Employees,62429,12/31/2018,3829505,3176492,2574,650439,111685,26402,67164,18119
DuPont Employees,62429,12/31/2005,3232639,2733283,2040,497316,131007,44721,51413,34873
DuPont Employees,62429,12/31/2006,2726547,2190125,3035,533387,131273,43328,51873,36072
DuPont Employees,62429,12/31/2007,2426464,1868851,4065,553548,127865,55340,52363,20162
DuPont Employees,62429,12/31/2008,2527287,1957354,1854,568079,121373,53882,52961,14530
DuPont Employees,62429,12/31/2009,2734343,2154460,2869,577014,129466,43896,60092,8935
DuPont Employees,62429,12/31/2010,2925797,2341953,4266,579578,105331,33895,68873,2563
DuPont Employees,62429,12/31/2011,3060811,2480643,3462,576706,101909,26409,78371,-2871
DuPont Employees,62429,12/31/2012,3289060,2707615,2839,578606,96780,18219,76657,1904
DuPont Employees,62429,12/31/2013,3296301,2709918,2849,583534,94849,10748,79173,4928
DuPont Employees,62429,12/31/2014,3207914,2614958,2489,590467,97964,22252,69364,6348
DuPont Employees,62429,12/31/2015,3397463,2792113,2382,602968,100606,24559,63546,12501
DuPont Employees,62429,12/31/2016,3629147,3010603,2484,616060,93742,16685,63965,13092
DuPont Employees,62429,12/31/2017,3814098,3179214,2562,632322,100685,17675,66750,16260
North Star Community,62638,12/31/2018,90503948,79870819,281035,10244417,4227084,634018,2908003,675873
North Star Community,62638,12/31/2005,44459841,39876137,157365,4434635,2642644,887151,1610446,145047
North Star Community,62638,12/31/2006,41293391,36548861,196511,4552516,2797654,1053973,1625801,117880
North Star Community,62638,12/31/2007,40911301,35974185,171635,4766587,3000558,1048108,1738378,214072
North Star Community,62638,12/31/2008,45060594,39812174,157266,5111782,3185907,1039519,1801194,345194
North Star Community,62638,12/31/2009,53501127,47780124,134533,5574724,3322733,908999,1883050,462943
North Star Community,62638,12/31/2010,58559348,52335200,204071,5976417,3449044,731645,2315706,401693
North Star Community,62638,12/31/2011,66891956,59798468,343934,6623958,3403948,647971,2256667,499310
North Star Community,62638,12/31/2012,74109575,66512359,346358,7081936,3383831,611298,2314555,457978
North Star Community,62638,12/31/2013,77279263,69401887,331254,7503069,3280798,513176,2346489,421133
North Star Community,62638,12/31/2014,81453087,73214318,353761,7800995,3089890,443373,2348592,297925
North Star Community,62638,12/31/2015,82724355,73891228,321710,8400094,3338804,423745,2315960,599099
North Star Community,62638,12/31/2016,83646427,74191905,362851,8987189,3338792,458937,2292759,587096
North Star Community,62638,12/31/2017,85245074,75203920,360215,9568545,3626189,490668,2554163,581358
Members Community,62683,12/31/2018,59014836,47361300,1039687,6110356,3547358,240084,2807503,465301
Members Community,62683,12/31/2005,30748286,27417969,439498,2967747,2104764,402927,1563518,138319
Members Community,62683,12/31/2006,31904403,28408433,302716,3232182,2493941,561397,1668109,264435
Members Community,62683,12/31/2007,33662443,29985519,304918,3365340,2666560,738056,1795347,133157
Members Community,62683,12/31/2008,36144583,32733224,335218,3399602,2690940,777201,1879478,34261
Members Community,62683,12/31/2009,39755122,35675292,399652,3561121,2713081,601453,1901223,161520
Members Community,62683,12/31/2010,44289707,38617310,1891449,3671364,2722813,535577,2076993,110243
Members Community,62683,12/31/2011,47630381,41092397,2561536,3891449,2661673,424282,2017306,220085
Members Community,62683,12/31/2012,46522167,41515008,868133,4073031,2504580,361685,1961313,181582
Members Community,62683,12/31/2013,49276989,43096294,1946539,4220338,2626697,274857,2204534,147306
Members Community,62683,12/31/2014,51334241,45384504,1465871,4477288,2862510,251122,2354437,256951
Members Community,62683,12/31/2015,53751844,46011363,2894664,4838528,2998820,230667,2406914,361239
Members Community,62683,12/31/2016,56010402,48559270,2200073,5244106,3046999,209019,2432402,405578
Members Community,62683,12/31/2017,57481461,49317750,1512190,5645055,3180960,202039,2562556,400949
Ace Community,62795,12/31/2005,25409232,20610727,122512,4675993,1492954,207930,929194,355830
Ace Community,62795,12/31/2006,25661367,20445077,86204,5130086,1717141,259923,1003127,454091
Ace Community,62795,12/31/2007,27204116,21519063,115908,5569145,1807606,301237,1064119,442250
Ace Community,62795,12/31/2008,28954908,22956826,145991,5852091,1636682,257348,1099580,279754
Ace Community,62795,12/31/2009,31985584,25851289,147662,5986633,1628377,186034,1121162,134544
Ace Community,62795,12/31/2010,33167938,26977590,149517,6040831,1389082,150550,1184334,54198
Ace Community,62795,12/31/2011,32324634,26107198,170098,6047338,1291782,99602,1185674,6506
Ace Community,62795,12/31/2012,34584206,28353329,182047,6048830,1197987,58635,1116895,22457
Ace Community,62795,12/31/2013,34065639,27858921,163645,6043073,1054029,45939,1036460,-28370
Affinity,62829,12/31/2018,114653845,102356712,1712362,10397151,8920876,187197,7829005,414732
Affinity,62829,12/31/2005,48160265,42965307,669154,4531833,3195624,523119,2409322,263183
Affinity,62829,12/31/2006,48768646,42968961,783428,5019767,3557968,661615,2408418,487935
Affinity,62829,12/31/2007,49439377,43349138,683625,5326835,3898583,841821,2749694,307068
Affinity,62829,12/31/2008,57371671,51331063,762870,5203983,4239189,778481,3583561,-122853
Affinity,62829,12/31/2009,65481652,58751992,686777,6274925,5259193,774286,3660803,778692
Affinity,62829,12/31/2010,68866619,61096979,1504445,6236677,4625080,571651,3799427,254002
Affinity,62829,12/31/2011,66005585,57651950,2037160,6347559,4235412,397629,3726901,110882
Affinity,62829,12/31/2012,69330349,61723098,1234501,6403834,3966600,241860,3668465,56275
Affinity,62829,12/31/2013,73144086,65118078,1364321,6613641,4131372,172916,3748650,209806
Affinity,62829,12/31/2014,81210366,70560819,3298481,7285341,4831567,153186,4006681,671700
Affinity,62829,12/31/2015,92792863,83034392,1507912,8184834,5363337,317252,4133543,912542
Affinity,62829,12/31/2016,95869416,83834738,2556576,9409836,6233846,475694,4533151,1225001
Affinity,62829,12/31/2017,111237289,98253014,2241234,10582419,7334172,171649,5732345,1172583
Ashworth,62857,12/31/2005,4765000,3481556,502449,780995,190590,61291,82300,46999
Ashworth,62857,12/31/2006,4052716,3243334,8814,800568,205519,93680,92266,19573
Ashworth,62857,12/31/2007,4018110,3175509,13079,829522,233853,85117,119782,28954
Ashworth,62857,12/31/2008,4024448,3138541,8488,877419,220744,68687,104161,47896
Ashworth,62857,12/31/2009,4735505,3834895,3954,896656,214093,63228,126621,19237
Ashworth,62857,12/31/2010,5180123,4270285,4024,905814,214640,56130,149352,9158
Ashworth,62857,12/31/2011,6205412,5287377,3655,914380,197805,57059,132180,8566
Ashworth,62857,12/31/2012,6373771,5429731,2784,941256,190354,28458,135019,26877
Ashworth,62857,12/31/2013,6745358,5784403,2866,958089,167947,8429,142685,16833
Chicago Central and Commerce,62871,12/31/2018,6742671,5214756,74503,1451789,327509,51448,271467,4594
Chicago Central and Commerce,62871,12/31/2005,8009212,6690089,119969,1199154,443456,126496,308982,7978
Chicago Central and Commerce,62871,12/31/2006,7896296,6511618,133715,1250963,517731,178323,287600,51808
Chicago Central and Commerce,62871,12/31/2007,7714540,6289069,143738,1281733,549467,220085,298612,30770
Chicago Central and Commerce,62871,12/31/2008,7663124,6214515,150082,1298527,484195,160934,306467,16794
Chicago Central and Commerce,62871,12/31/2009,7690472,6222413,159398,1308661,466387,105494,301546,10133
Chicago Central and Commerce,62871,12/31/2010,7529328,6030194,186061,1313073,402521,59887,338222,4412
Chicago Central and Commerce,62871,12/31/2011,7031287,5525466,191939,1313882,339286,42055,296422,809
Chicago Central and Commerce,62871,12/31/2012,7009763,5502281,174879,1332603,319397,44167,256509,18721
Chicago Central and Commerce,62871,12/31/2013,7156939,5645726,154539,1356674,300041,40314,235655,24072
Chicago Central and Commerce,62871,12/31/2014,7429266,5913734,133887,1381645,310333,37601,253179,19553
Chicago Central and Commerce,62871,12/31/2015,7045373,5510810,119015,1415548,357880,32560,291416,33904
Chicago Central and Commerce,62871,12/31/2016,6532897,4994150,103873,1434874,297096,32128,245642,19326
Chicago Central and Commerce,62871,12/31/2017,6856429,5320182,87691,1447195,301732,37629,251782,12321
Capitol View,62878,12/31/2018,36428108,30642105,161201,5624802,1695694,180439,1262779,252476
Capitol View,62878,12/31/2005,17038602,14835111,14681,2188810,1113743,245468,588194,280081
Capitol View,62878,12/31/2006,17954386,15393689,33844,2526853,1346492,368667,652089,325736
Capitol View,62878,12/31/2007,19435408,16492633,38586,2904189,1584393,475649,731409,377335
Capitol View,62878,12/31/2008,20786988,17404357,53498,3329133,1624540,380678,818918,424944
Capitol View,62878,12/31/2009,25338940,19548857,2091871,3698212,1650345,288539,863680,364728
Capitol View,62878,12/31/2010,24901604,20832585,95016,3974003,1523210,221935,1025484,275791
Capitol View,62878,12/31/2011,25752091,21682060,2875,4067156,1444546,203601,1147792,93153
Capitol View,62878,12/31/2012,28574132,24277846,85934,4210352,1350340,184808,1022336,143196
Capitol View,62878,12/31/2013,30181117,25706801,78198,4396118,1358405,154616,1018023,185766
Capitol View,62878,12/31/2014,31161440,25975006,590258,4596176,1404336,136613,1067665,200058
Capitol View,62878,12/31/2015,32071927,26571801,610800,4889326,1492758,123870,1075738,293150
Capitol View,62878,12/31/2016,33354948,28122503,136566,5095879,1510776,131452,1172771,206553
Capitol View,62878,12/31/2017,34409541,28882079,155138,5372324,1586864,145930,1164488,276446
Members 1st Community,62918,12/31/2018,169759406,150076516,1539437,18143453,7228650,430644,5446777,1351229
Members 1st Community,62918,12/31/2005,92874356,81608325,121063,11144968,5287160,1220011,3723401,343748
Members 1st Community,62918,12/31/2006,102345608,90545832,154303,11645473,5926140,1729229,3696406,500505
Members 1st Community,62918,12/31/2007,115986829,103333701,125735,12527393,7312107,2790447,3639740,881920
Members 1st Community,62918,12/31/2008,119350264,105758572,532021,13059671,6943239,2481999,3928962,532278
Members 1st Community,62918,12/31/2009,139789421,126283897,327785,13177739,7032388,1955971,4081357,118068
Members 1st Community,62918,12/31/2010,139487528,125798934,318803,13369791,6123047,1496915,4434081,192051
Members 1st Community,62918,12/31/2011,139844805,126144999,258362,13441444,5200566,904533,4224380,71653
Members 1st Community,62918,12/31/2012,146061027,131878075,369000,13813952,4802949,656667,3773773,372509
Members 1st Community,62918,12/31/2013,145473792,131250405,254713,13968674,4268403,465789,3647892,154722
Members 1st Community,62918,12/31/2014,145364264,130948752,289714,14125798,4250600,279752,3813724,157124
Members 1st Community,62918,12/31/2015,150023984,134388107,874233,14761644,5510929,233170,4641913,635846
Members 1st Community,62918,12/31/2016,156447289,139586665,1107135,15753489,5499103,241071,4266187,991845
Members 1st Community,62918,12/31/2017,162935375,145116613,1026199,16792563,6152522,317282,4796139,1039073
Financial Plus,62965,12/31/2018,171160676,149799680,1211461,20317073,6280941,413779,4848844,1018318
Financial Plus,62965,12/31/2005,62351161,55070144,423200,6857817,4544085,666187,3278767,599131
Financial Plus,62965,12/31/2006,63065027,55167185,485327,7412515,4999488,940257,3504532,554699
Financial Plus,62965,12/31/2007,63254342,54750186,418265,8085891,5102205,1139602,3289226,673377
Financial Plus,62965,12/31/2008,68528542,59985372,415727,8127443,4593778,1066659,3485568,41551
Financial Plus,62965,12/31/2009,77195707,68767126,797921,7630660,4057910,849072,3197828,-496782
Financial Plus,62965,12/31/2010,83997483,75187296,753654,8056533,4294322,709767,3158682,425873
Financial Plus,62965,12/31/2011,95296062,85809372,687924,8798766,4333960,690543,2901184,742233
Financial Plus,62965,12/31/2012,108296946,98196441,539638,9560867,4016814,664940,2955300,396574
Financial Plus,62965,12/31/2013,115856780,104917598,535452,10403730,4516136,578936,3094337,842863
Financial Plus,62965,12/31/2014,161620480,144392180,511534,16780277,4816962,544647,3504099,768216
Financial Plus,62965,12/31/2015,167593648,149118018,863800,17792740,6093392,545649,4535281,1012462
Financial Plus,62965,12/31/2016,167367659,148338840,1071775,18104540,5820661,466490,5042372,311799
Financial Plus,62965,12/31/2017,172487538,151367883,1908961,19298755,6194424,415662,4584548,1194214
Collins Community,62969,12/31/2018,1314874535,977782688,11753149,102587300,64231928,3568912,46043500,3799094
Collins Community,62969,12/31/2005,370401297,324829439,4541392,41438558,22653449,4851367,14551705,3250377
Collins Community,62969,12/31/2006,408603682,357378392,5372370,46282913,26783755,7221874,14717526,4844355
Collins Community,62969,12/31/2007,457882960,405907218,6583978,49824578,30907569,10594290,16771613,3541666
Collins Community,62969,12/31/2008,488081282,430939236,12302621,52608283,32573832,10238726,19551402,2783704
Collins Community,62969,12/31/2009,544990207,485531822,8212881,56491717,36747278,8439500,20954766,3883434
Collins Community,62969,12/31/2010,619145078,542022499,20697895,61786027,35710784,8049154,22367320,5294310
Collins Community,62969,12/31/2011,685388554,612552288,12452387,66618708,36986258,8034650,24118927,4832681
Collins Community,62969,12/31/2012,726954558,629565743,33689328,69729834,39459386,7210406,29137854,3111126
Collins Community,62969,12/31/2013,737998489,658254171,7564688,75684335,39548247,5595987,27997759,5954501
Collins Community,62969,12/31/2014,825621181,697346761,49371416,83589752,39288855,5233722,27661137,6393996
Collins Community,62969,12/31/2015,924526374,741938117,98293139,88918909,42965624,4867670,32768800,5329154
Collins Community,62969,12/31/2016,1079265954,902869078,86632958,93735967,48785327,6127393,37714406,4943528
Collins Community,62969,12/31/2017,1086498605,950102166,14832500,98787262,57584083,1454987,40987154,6487261
Bent River Community,62974,12/31/2005,13761327,11929375,61860,1770092,684734,219153,414184,51397
Bent River Community,62974,12/31/2006,13300869,11440577,42237,1818055,754022,304726,401333,47963
Bent River Community,62974,12/31/2007,13331179,11360018,112413,1858748,834487,355213,438596,40678
Bent River Community,62974,12/31/2008,17584752,14916806,97486,2570460,991538,368070,597612,25856
Bent River Community,62974,12/31/2009,19012711,16597000,114110,2301601,945140,311154,819087,-208011
Bent River Community,62974,12/31/2010,20034833,17481448,82944,2385057,910382,208463,615775,86144
Bent River Community,62974,12/31/2011,21606340,18975598,123137,2507605,886347,171642,675811,38894
Bent River Community,62974,12/31/2012,22424824,19795675,71805,2557344,862605,126895,689211,46499
Bent River Community,62974,12/31/2013,22830396,20244873,87884,2497639,842634,93944,814409,-65719
Bent River Community,62974,12/31/2014,23394044,21013063,-115906,2496887,945488,70078,876163,-753
Bent River Community,62974,12/31/2015,24198332,21557503,126396,2514433,1030238,80739,931952,17547
Bent River Community,62974,12/31/2016,19679503,15977763,1100567,2601173,1116857,92047,912665,112145
Bent River Community,62974,12/31/2017,18767153,15748740,157717,2593695,911049,108099,775408,17810
1st Gateway,63124,12/31/2018,147876429,114693090,530144,16547409,7901358,313506,5362751,1295000
1st Gateway,63124,12/31/2005,45860286,38702283,2647850,4510153,2950850,642459,1915105,393286
1st Gateway,63124,12/31/2006,49396048,42095201,2392441,4908406,3345575,875988,2071334,398253
1st Gateway,63124,12/31/2007,53915029,44732323,3863905,5318801,3852206,1184797,2257014,410395
1st Gateway,63124,12/31/2008,58127574,46094918,6405025,5627631,3981457,1099348,2671905,210204
1st Gateway,63124,12/31/2009,66995715,58111856,2876679,6007180,4314249,997379,2553879,379548
1st Gateway,63124,12/31/2010,75818339,66858213,2337191,6622935,4402794,938914,2848141,615739
1st Gateway,63124,12/31/2011,80475885,68221461,5055413,7199011,4671151,669945,3424884,576322
1st Gateway,63124,12/31/2012,85378299,74181606,2851449,8345244,4895489,543202,3474787,877500
1st Gateway,63124,12/31/2013,90542443,75795802,5326397,9420244,5109945,465979,3568966,1075000
1st Gateway,63124,12/31/2014,105905806,87533261,7892301,10480244,5823827,528795,4235032,1060000
1st Gateway,63124,12/31/2015,124655100,104307804,7959887,12387409,6780119,715515,4784604,1280000
1st Gateway,63124,12/31/2016,132957544,108183688,10906447,13867409,7059190,834457,4744733,1480000
1st Gateway,63124,12/31/2017,137624186,112034490,513239,15252409,7260143,288654,4814633,1385000
Fort Dodge Family,63159,12/31/2018,29665289,25707596,236593,3721100,1704631,270635,1174019,237096
Fort Dodge Family,63159,12/31/2005,8777570,7621492,42700,1113378,806053,150516,452637,202900
Fort Dodge Family,63159,12/31/2006,8783372,7468268,40755,1274349,865906,181328,523606,160972
Fort Dodge Family,63159,12/31/2007,9979273,8373838,53574,1551861,982773,231709,473552,277512
Fort Dodge Family,63159,12/31/2008,11285008,9480972,67260,1736776,1075926,257250,633760,184916
Fort Dodge Family,63159,12/31/2009,15989702,14069636,69860,1850206,1113831,270606,664322,93773
Fort Dodge Family,63159,12/31/2010,18264173,16107848,80379,2075946,1139078,299518,621653,217907
Fort Dodge Family,63159,12/31/2011,20938854,18688887,104067,2145900,1210939,265115,875872,69952
Fort Dodge Family,63159,12/31/2012,21896694,19385921,100904,2409869,1229489,250513,715007,263969
Fort Dodge Family,63159,12/31/2013,22930347,20143058,111283,2676006,1183012,229836,687041,266135
Fort Dodge Family,63159,12/31/2014,24720377,21712370,123246,2884761,1149982,212058,729166,208758
Fort Dodge Family,63159,12/31/2015,26218999,22895824,151983,3171192,1243521,217437,739652,286432
Fort Dodge Family,63159,12/31/2016,28510265,24973088,208822,3328355,1343880,235902,943998,163980
Fort Dodge Family,63159,12/31/2017,29328580,25563648,280928,3484004,1571169,246963,1153717,155650
Telco Triad Community,63218,12/31/2018,91482049,80815265,267304,11409510,4698387,127037,4001048,350965
Telco Triad Community,63218,12/31/2005,53804383,45915123,397305,7491955,3808142,614068,3020377,173697
Telco Triad Community,63218,12/31/2006,55451913,47032341,540811,7878761,4428983,821252,3220925,386806
Telco Triad Community,63218,12/31/2007,57211601,48099635,735156,8376810,5057540,1082018,3349604,625918
Telco Triad Community,63218,12/31/2008,60139868,51066451,1030052,8043365,5138391,1098241,3714506,325644
Telco Triad Community,63218,12/31/2009,65842797,56458566,805621,8578610,5128395,765875,3744374,535245
Telco Triad Community,63218,12/31/2010,71276880,61888187,621549,8767144,4427357,544666,3832666,50025
Telco Triad Community,63218,12/31/2011,75000012,65528217,644072,8827723,4163929,387668,3694849,81412
Telco Triad Community,63218,12/31/2012,71991844,62825736,327953,8838155,3859285,256751,3593738,8796
Telco Triad Community,63218,12/31/2013,72415678,63102958,268479,9288004,3550168,183338,3252558,114272
Telco Triad Community,63218,12/31/2014,75116922,65413755,246559,9694954,3615258,128850,3079458,406950
Telco Triad Community,63218,12/31/2015,84753191,75127699,310045,10031231,4147460,177942,3633242,336276
Telco Triad Community,63218,12/31/2016,85062616,74775585,320486,10736973,4720649,274586,3921930,524133
Telco Triad Community,63218,12/31/2017,89629228,78977241,279714,11058546,4324613,121809,3732107,321572
Ascentra,63268,12/31/2018,405453244,332874117,9765059,44312334,25482229,661242,20872092,2022432
Ascentra,63268,12/31/2005,146862894,117119090,17980259,11763545,11205360,2345611,7656781,1202968
Ascentra,63268,12/31/2006,144353513,113205373,18156125,12992888,12238177,2707325,8301509,1229343
Ascentra,63268,12/31/2007,145489886,108315583,23109601,14064702,12685726,2731447,8882465,1071814
Ascentra,63268,12/31/2008,157714409,119014734,23726382,14902476,13094424,2730805,9525845,837774
Ascentra,63268,12/31/2009,195312599,136286559,42881260,16086406,15016355,2311052,10577298,1183929
Ascentra,63268,12/31/2010,236169713,192664675,22206285,21803401,18325379,2202713,14310025,1812641
Ascentra,63268,12/31/2011,257136455,206893730,26549975,24008344,18929502,1882959,14841601,2204942
Ascentra,63268,12/31/2012,276363849,223818802,25208204,27654804,19612733,1543661,14422612,3646460
Ascentra,63268,12/31/2013,328170234,259832954,35458189,33355394,22882561,1317428,16465267,5099866
Ascentra,63268,12/31/2014,341944458,271689141,34429839,36098761,20864458,1356213,16764878,2743367
Ascentra,63268,12/31/2015,369221598,292576240,38979352,37964600,21210352,1374641,17969872,1865839
Ascentra,63268,12/31/2016,394426524,314124619,40686450,39922756,23602689,1715006,19929526,1958157
Ascentra,63268,12/31/2017,409300804,334499883,9438446,42289901,24116458,663366,19187052,2367147
Employees,63299,12/31/2018,97494304,75874485,478981,21106464,4772825,1145437,2264801,1321979
Employees,63299,12/31/2005,43368634,33201788,3003365,7163666,2281505,762487,992129,526889
Employees,63299,12/31/2006,44763637,33136480,4008481,7620865,2742230,1098175,1165333,478722
Employees,63299,12/31/2007,50553109,38116014,4198026,8239069,3155826,1426224,1111397,618205
Employees,63299,12/31/2008,60169433,44050254,7120556,8998623,3405533,1296529,1349449,759555
Employees,63299,12/31/2009,70945867,54017474,7115979,9812414,3301992,1103572,1308389,813790
Employees,63299,12/31/2010,72392619,57773807,3960032,10658780,3016671,845126,1417773,753772
Employees,63299,12/31/2011,74799685,59375482,3933972,11490231,2882408,572932,1478026,831450
Employees,63299,12/31/2012,75919357,59753077,3694024,12472256,2997922,425102,1590797,982023
Employees,63299,12/31/2013,79042569,61649272,3702549,13690748,3156470,413097,1524881,1218492
Employees,63299,12/31/2014,83744460,65109757,3717107,14917596,3335100,399968,1708284,1226848
Employees,63299,12/31/2015,85982836,66359182,3104165,16519489,3672494,420094,1650506,1601894
Employees,63299,12/31/2016,89808852,69538510,2125722,18144620,3882750,481848,1775773,1625129
Employees,63299,12/31/2017,93937316,72022670,106288,19784485,4300270,672412,1887639,1639865
NW IOWA,63399,12/31/2018,50127377,43688861,31045,6384703,2003504,297000,1143402,563024
NW IOWA,63399,12/31/2005,22377169,19602579,51421,2723169,1297663,383621,777144,136898
NW IOWA,63399,12/31/2006,24855345,21880933,79375,2895037,1501617,502817,826932,171868
NW IOWA,63399,12/31/2007,26326105,23180693,94747,3050665,1707906,695319,856958,155629
NW IOWA,63399,12/31/2008,28288672,25031196,64593,3192883,1682423,697735,842471,142217
NW IOWA,63399,12/31/2009,30185494,26902559,26021,3256914,1737839,542027,920861,64031
NW IOWA,63399,12/31/2010,32808751,29399269,9379,3400103,1534819,417282,975150,142387
NW IOWA,63399,12/31/2011,35147528,31549195,49545,3548788,1430532,303478,978368,148686
NW IOWA,63399,12/31/2012,36465235,32663668,49652,3751915,1361054,244893,913034,203127
NW IOWA,63399,12/31/2013,38572048,34558349,56225,3957474,1263635,197185,860890,205560
NW IOWA,63399,12/31/2014,39569140,35280501,34370,4254269,1305619,158393,850432,296794
NW IOWA,63399,12/31/2015,43133371,38475697,-38246,4695920,1490881,162085,887143,441653
NW IOWA,63399,12/31/2016,45486815,40290250,18332,5178233,1699695,188806,1028577,482312
NW IOWA,63399,12/31/2017,47267185,41356821,67078,5821681,1906548,226405,1036380,643447
Des Moines Water Works,63486,12/31/2018,1415474,1225739,4636,183957,62105,4725,54228,3152
Des Moines Water Works,63486,12/31/2005,1726987,1550171,12280,164536,90233,35153,47308,7772
Des Moines Water Works,63486,12/31/2006,1634494,1455344,12128,167022,88106,39316,46303,2487
Des Moines Water Works,63486,12/31/2007,1533824,1352848,10188,170788,88740,38235,46740,3765
Des Moines Water Works,63486,12/31/2008,1454204,1275669,6777,171758,81520,25772,54778,970
